,Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
240,CSCC[C@@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)C(=O)O,689.912,4.785600000000003,10,5,170.45999999999998,0.7297297297297297,5.745828557804218,52,2.30401808329934,True,True,True,True,True,True,True,True,True,True
243,CC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,613.7480000000002,3.8721000000000014,9,4,167.29999999999998,0.6764705882352942,5.645982134640593,52,2.320896141004928,True,True,True,True,True,True,True,True,True,True
244,CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,627.7750000000001,4.262200000000003,9,4,167.29999999999998,0.6857142857142857,5.684274444104823,52,2.1593977002448623,True,True,True,True,True,True,True,True,True,True
246,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,627.7750000000001,4.260600000000003,9,4,167.29999999999998,0.6857142857142857,5.7256371273543145,52,2.275384185804574,True,True,True,True,True,True,True,True,True,True
247,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,641.802,4.650700000000004,9,4,167.29999999999998,0.6944444444444444,5.764440658589592,52,2.115684771070757,True,True,True,True,True,True,True,True,True,True
249,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,643.7740000000001,3.233000000000001,10,5,187.53,0.6857142857142857,5.751631812435746,54,2.2866080970984632,True,True,True,True,True,True,True,True,True,True
250,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,657.801,3.623100000000001,10,5,187.53,0.6944444444444444,5.790654969138364,54,2.132711463262368,True,True,True,True,True,True,True,True,True,True
251,CC(C)(/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)OC(=O)c1ccccc1,705.8450000000003,4.526900000000002,10,5,187.53,0.575,5.642106119788098,65,1.8760384215731327,True,True,True,True,True,True,True,True,True,True
252,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@H](C)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,657.801,3.621500000000001,10,5,187.53,0.6944444444444444,5.838613201244074,54,2.2288928414785683,True,True,True,True,True,True,True,True,True,True
253,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@H](C)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,671.8280000000001,4.011600000000001,10,5,187.53,0.7027027027027027,5.877806658903119,54,2.0768161386987853,True,True,True,True,True,True,True,True,True,True
