Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,659.8170000000001,3.414900000000001,10,6,190.69,0.7222222222222222,5.906172420633242,52,2.120478657923857,False,True,True,True,True,True,False,True,True,True
CC(C)(/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,707.8610000000003,4.318700000000002,10,6,190.69,0.6,5.752059905572788,63,1.864765051947447,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@H](C)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,659.8170000000001,3.4133000000000013,10,6,190.69,0.7222222222222222,5.949617412916914,52,2.2166600361400577,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@H](C)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,673.8440000000002,3.8034000000000017,10,6,190.69,0.7297297297297297,5.987402512442289,52,2.064838183471494,False,True,True,True,True,True,False,True,True,True
C[C@H](O)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,721.8880000000001,4.707200000000003,10,6,190.69,0.6097560975609756,5.83856752914658,63,1.8207117063900613,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,661.8580000000001,3.9623000000000017,10,6,170.45999999999998,0.7142857142857143,5.915173607270211,52,2.223609361340118,False,True,True,True,True,True,False,True,False,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,675.8850000000001,4.352400000000003,10,6,170.45999999999998,0.7222222222222222,5.951605816505662,52,2.071053126137179,False,True,True,True,True,True,False,True,False,True
CC(C)(/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,723.9290000000003,5.256200000000005,10,6,170.45999999999998,0.6,5.793150403310345,63,1.8192160324577629,False,True,True,True,True,True,False,True,False,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,657.8450000000001,4.688500000000004,9,5,170.45999999999998,0.7297297297297297,5.845286593425664,50,2.1397841544633858,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,671.8720000000002,5.078600000000005,9,5,170.45999999999998,0.7368421052631579,5.884319889672351,50,1.9895638826630853,False,True,True,True,True,True,False,True,True,True
